Table 1
Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
,,,STARTER 3,603,23, € 	26.21 
,,LIQUID BOTTLE,STARTER 1,"35,069",1131, € 	31.01 
,,,STARTER 2,"14,916",591, € 	25.24 
,,,STARTER 4,"51,680",1063, € 	48.62 
,,LIQUID PUMP,STARTER 1,"6,462",492, € 	13.13 
,,LIQUID TRIGGER,REFILL 1,"9,275",282, € 	32.89 
,,,STARTER 1,"35,475",2478, € 	14.32 
,,,STARTER 2,871,57, € 	15.28 
,,OIL SPRAY,STARTER 1,518,58, € 	8.94 
,MOTH,AEROSOL,STARTER 1,"43,230",2403, € 	17.99 
,,LIQUID BOTTLE,STARTER 1,"28,768",1775, € 	16.21 
,,LIQUID TRIGGER,STARTER 1,"117,767",8086, € 	14.56 
,,,STARTER 2,626,30, € 	20.87 
,,SACHET,STARTER 1,"8,913",772, € 	11.55 
,,WOOD,STARTER 1,"28,619",1544, € 	18.54 
,,,STARTER 3,"38,690",3180, € 	12.17 
,MULTI CRAWLING,AEROSOL,STARTER 1,"108,736",16687, € 	6.52 
,,,STARTER 4,"17,977",556, € 	32.33 
,,LIQUID TRIGGER,STARTER 1,"5,414",1226, € 	4.42 
,,POWDER,STARTER 1,750,16, € 	46.87 
,MULTI FLYING & CRAWLING,,STARTER 1,"6,456",574, € 	11.25 
,,AEROSOL,STARTER 1,"177,710",21475, € 	8.28 
,,,STARTER 2,"21,830",658, € 	33.18 
,,ELECTRIC LIQUID,REFILL 6,"9,291",204, € 	45.54 
,,GLUE STRIP,STARTER 3,"25,905",672, € 	38.55 
,,LIQUID BOTTLE,STARTER 1,"131,510",6576, € 	20.00 
,,,STARTER 2,"4,111",79, € 	52.04 
,,LIQUID POWER SPRAYER,STARTER 3,"154,551",3629, € 	42.59 
,,LIQUID TRIGGER,REFILL 1,"222,056",11624, € 	19.10 
,,,STARTER 1,"582,322",44657, € 	13.04 
,,,STARTER 2,,,
,,,STARTER 3,"62,676",2029, € 	30.89 
,,,STARTER 6,"7,805",179, € 	43.60 
,OTHER CRAWLING,,STARTER 1,"1,528",98, € 	15.59 
,,AEROSOL,STARTER 1,"425,512",32127, € 	13.24 
,,,STARTER 2,"21,673",646, € 	33.55 
,,ASSORTED FORM,STARTER 1,"1,983",39, € 	50.84 
,,LIQUID BOTTLE,STARTER 1,"87,330",6381, € 	13.69 
,,,STARTER 2,,,
,,LIQUID POWER SPRAYER,STARTER 1,"13,756",825, € 	16.67 
,,LIQUID TRIGGER,STARTER 1,"312,343",15536, € 	20.10 
,,,STARTER 2,,,
,,,STARTER 3,"76,122",2442, € 	31.17 
,,,STARTER AO,"20,999",908, € 	23.13 
,,OIL SPRAY,STARTER 1,"171,450",8754, € 	19.59 
,,PAPER/CARD,STARTER 2,723,22, € 	32.89 
,,WIPE,STARTER 1,"1,888",77, € 	24.52 
,OTHER FLYING,,STARTER 1,"4,995",267, € 	18.71 
,,AEROSOL,STARTER 1,"874,496",59900, € 	14.60 
,,,STARTER 2,"11,490",1570, € 	7.32 
,,,STARTER 3,"13,715",359, € 	38.20 
,,,STARTER 4,"47,020",1420, € 	33.11 
,,ELECTRIC MAT,STARTER 1,"10,076",540, € 	18.66 
,,,STARTER 3,,,
,,FOAM,STARTER 1,"13,199",627, € 	21.05 
,,LIQUID BOTTLE,STARTER 1,"9,140",60, € 	152.33 
,,LIQUID TRIGGER,STARTER 1,"10,251",749, € 	13.69 
,,POWDER,STARTER 1,"27,152",521, € 	52.11 
,,TRAP,STARTER 3,,,
PERSONAL,MOSQUITO,,STARTER 1,"11,198",1137, € 	9.85 
,,,STARTER 2,378,9, € 	42.05 
,,AEROSOL,STARTER 1,"19,931",1776, € 	11.22 
,,,STARTER 2,"18,805",823, € 	22.85 
,,,STARTER 4,,,
,,CLIP ON,STARTER 1,,,
,,GEL BOTTLE,STARTER 1,"3,246",405, € 	8.01 
,,,STARTER 4,"1,993",84, € 	23.73 
,,GEL TUBE,STARTER 1,,,
,,LIQUID BOTTLE,STARTER 1,,,
,,,STARTER 2,"8,108",780, € 	10.39 
,,LIQUID PUMP,STARTER 1,"265,133",28333, € 	9.36 
,,,STARTER 2,847,44, € 	19.25 
,,,STARTER 4,,,
,,LIQUID TRIGGER,STARTER 1,"4,982",672, € 	7.41 
,,LOTION PUMP,STARTER 1,"113,489",12170, € 	9.33 
,,,STARTER 2,"70,099",3160, € 	22.18 
,,,STARTER 3,"41,614",1251, € 	33.26 
,,LOTION TUBE,STARTER 1,"18,897",2381, € 	7.94 
,,OIL SPRAY,STARTER 1,"4,303",329, € 	13.08 
,,ROLL ON,STARTER 1,,,
,,,STARTER 2,551,19, € 	28.97 
,,SACHET,STARTER 4,"1,938",45, € 	43.08 
,,STICK,STARTER 1,964,94, € 	10.25 
,,WRISTBAND,REFILL 1,"10,919",1300, € 	8.40 
,,,REFILL 3,507,17, € 	29.84 
,,,REFILL AO,"10,060",235, € 	42.81 
