Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
,,LIQUID TRIGGER,STARTER 1,"212,934",13201, € 	16.13 
,,,STARTER 2,"7,483",295, € 	25.36 
,,,STARTER 3,"7,729",208, € 	37.16 
,,POWDER,STARTER 1,,,
,,TRAP,STARTER 1,"9,153",642, € 	14.26 
,,,STARTER 2,178,7, € 	25.41 
,,,STARTER 3,192,11, € 	17.49 
Personal,MOSQUITO,,STARTER 1,"29,106",1424, € 	20.44 
,,,STARTER 2,,,
,,AEROSOL,STARTER 1,"167,464",23904, € 	7.01 
,,,STARTER 2,"19,823",1208, € 	16.41 
,,,STARTER 3,"7,650",357, € 	21.43 
,,,STARTER 4,"9,102",360, € 	25.28 
,,,STARTER 5,"39,412",1240, € 	31.78 
,,,STARTER 6,"24,264",730, € 	33.24 
,,CLIP ON,STARTER 1,72,4, € 	18.04 
,,COIL,STARTER AO,185,20, € 	9.27 
,,ELECTRIC SAND,STARTER 1,"1,330",82, € 	16.22 
,,GEL TUBE,STARTER 1,"11,802",1179, € 	10.01 
,,,STARTER 2,,,
,,,STARTER 3,521,26, € 	20.06 
,,,STARTER 4,,,
,,LIQUID BOTTLE,STARTER 1,"79,702",3529, € 	22.58 
,,LIQUID PUMP,STARTER 1,"1,594,275",227875, € 	7.00 
,,,STARTER 2,"93,873",5590, € 	16.79 
,,,STARTER 3,"88,240",3227, € 	27.34 
,,,STARTER 4,"63,987",2819, € 	22.70 
,,,STARTER 5,"15,811",537, € 	29.44 
,,,STARTER 6,"25,069",726, € 	34.53 
,,LIQUID TRIGGER,STARTER 1,"156,849",9145, € 	17.15 
,,LOTION PUMP,STARTER 1,"5,829",421, € 	13.85 
,,,STARTER 3,"6,998",321, € 	21.80 
,,LOTION TRIGGER,STARTER 1,,,
,,LOTION TUBE,STARTER 1,"51,894",4906, € 	10.58 
,,,STARTER 2,"10,640",487, € 	21.85 
,,TRAP,STARTER 4,76,6, € 	12.62 
,,WRISTBAND,STARTER 1,"127,480",8604, € 	14.82 
,,,STARTER 2,,,
,,,STARTER AO,288,14, € 	20.55 
,MULTI FLYING & CRAWLING,LIQUID PUMP,STARTER 1,"10,330",605, € 	17.07 
,,,STARTER 2,"1,328",52, € 	25.53 
,,LIQUID TRIGGER,STARTER 1,"3,129",167, € 	18.74 
